item_id,num_users,avg_dur,score,title,genres,content_type,release_year
13865,32511,96.5533204146289,3139045.0,Девятаев,"драмы, военные, приключения",film,2021.0
9728,30186,95.82458755714569,2892561.0,Гнев человеческий,"боевики, триллеры",film,2021.0
10440,28890,87.45482866043614,2526570.0,Хрустальный,"триллеры, детективы",series,2021.0
3734,22954,96.03341465539775,2204351.0,Прабабушка легкого поведения,комедии,film,2021.0
15297,25509,85.67250774236544,2185420.0,Клиника счастья,"драмы, мелодрамы",series,2021.0
142,15476,95.4773197208581,1477607.0,Маша,"драмы, триллеры",film,2020.0
4151,14563,88.73473872141729,1292244.0,Секреты семейной жизни,комедии,series,2021.0
8636,12215,96.37683176422432,1177243.0,Белый снег,"драмы, спорт",film,2021.0
1844,8737,96.47533478310633,842905.0,Аферистка,"триллеры, комедии",film,2020.0
11237,8524,94.95917409666824,809432.0,День города,комедии,film,2021.0
7571,8230,95.53195625759417,786228.0,100% волк,"мультфильм, приключения, семейное, фэнтези, комедии",film,2020.0
14431,6778,94.21909117733844,638617.0,Приворот. Чёрное венчание,"ужасы, триллеры, мелодрамы",film,2021.0
7417,6647,95.52896043327817,634981.0,Стендап под прикрытием,комедии,film,2020.0
4457,6717,93.34866755992259,627023.0,2067: Петля времени,"драмы, фантастика",film,2020.0
6809,5615,93.41032947462155,524499.0,Дуров,документальное,film,2021.0
4436,5321,95.09208795339222,505985.0,Ford против Ferrari,драмы,film,2019.0
14703,5053,94.34078765090045,476704.0,Денежная игла,триллеры,film,2021.0
4495,4980,93.9855421686747,468048.0,Пальмира,драмы,film,2020.0
7626,4969,93.57556852485409,464977.0,Мстители: Война бесконечности,"боевики, фантастика, приключения",film,2018.0
12995,4948,92.70270816491512,458693.0,Восемь сотен,"боевики, драмы, историческое, военные",film,2020.0
16166,4778,93.02302218501465,444464.0,Зверополис,"приключения, мультфильм, детективы, комедии",film,2016.0
12173,4756,92.72392767031118,440995.0,Мстители: Финал,"боевики, драмы, фантастика",film,2019.0
9996,4800,89.57291666666667,429950.0,Немцы,драмы,series,2021.0
14741,4645,91.04348762109795,422897.0,Цвет из иных миров,"фантастика, ужасы",film,2020.0
3182,4502,92.35917370057751,415800.99999999994,Ральф против Интернета,"мультфильм, приключения, фантастика, семейное, комедии",film,2018.0
9169,4183,96.26990198422185,402697.0,Взаперти,"драмы, триллеры, детективы",film,2020.0
